term,frequency
sriwijaya air,135
flash sale,28
sj travel,24
travel pass,24
aplikasi membantu,20
beli tiket,20
sj travel pass,17
terima kasih,17
easy use,16
aplikasi nya,15
pesan tiket,15
nam air,15
bravo sriwijaya,14
good job,14
bravo sriwijaya air,13
air group,12
member sjtp,12
sriwijaya air group,12
buka aplikasi,12
tiket promo,10
job sriwijaya,10
web check,10
aplikasi bagus,10
harga tiket,9
member sj,9
tiket sriwijaya,9
apk nya,8
good job sriwijaya,8
pemesanan tiket,8
maju sriwijaya,8
promo rb,8
aplikasi dibuka,8
tolong diperbaiki,8
aplikasi web,8
job sriwijaya air,8
apps nya,7
flying partner,7
loading mulu,7
member sj travel,7
tiket pesawat,7
kecewa sriwijaya,7
promo aplikasi,7
bikin promo,7
booking tiket,7
merugikan member,7
jadwal penerbangan,7
good app,7
jam pagi,6
kasih promo,6
tiket member,6
