sentiment,term,frequency
negative,aplikasi,225
negative,promo,141
negative,tiket,119
negative,member,98
negative,sriwijaya,96
negative,nya,79
negative,aja,64
negative,buka,61
negative,app,59
negative,loading,59
negative,dibuka,50
negative,penerbangan,47
negative,maskapai,46
negative,jam,45
negative,kecewa,42
negative,check,40
negative,banget,40
negative,sj,40
negative,web,38
negative,ya,37
neutral,aplikasi,17
neutral,sriwijaya,14
neutral,ya,12
neutral,nya,9
neutral,bagus,8
neutral,update,7
neutral,bintang,7
neutral,tiket,6
neutral,coba,6
neutral,pembayaran,5
neutral,mobile,5
neutral,check,5
neutral,member,4
neutral,aja,4
neutral,booking,4
neutral,udah,4
neutral,app,4
neutral,kasih,4
neutral,apps,4
neutral,good,4
positive,sriwijaya,165
positive,air,128
positive,good,116
positive,aplikasi,87
positive,membantu,85
positive,bagus,81
positive,mantap,61
positive,mudah,59
positive,tiket,58
positive,ok,53
positive,easy,30
positive,check,28
positive,app,27
positive,nice,27
positive,booking,26
positive,semoga,22
positive,banget,22
positive,pelayanan,20
positive,nya,20
positive,apps,19
