term,mean_tfidf
good,0.04703024270958449
bagus,0.035304270118888106
aplikasi,0.03514775528243318
ok,0.02981701846858333
sriwijaya,0.027543662481880202
mantap,0.02618233375786822
membantu,0.024941686165522725
air,0.017657976271777523
tiket,0.016983442039835078
promo,0.016596489676318788
sriwijaya air,0.015698970934337732
nya,0.013596534443629127
app,0.01330260513716315
mudah,0.01287779765192057
member,0.012544386454896365
dibuka,0.01240320540998066
buka,0.011937307223357363
check,0.011141531062599042
loading,0.011073993385751582
banget,0.010455522067535493
aja,0.009573412051867472
ya,0.009542246228111931
nice,0.008897144396876628
lemot,0.008193693987263183
sj,0.008099949581891964
buruk,0.007568837916929189
penerbangan,0.007507772485016369
maskapai,0.007341928810044396
booking,0.007317115711540353
apps,0.007069121896805246
login,0.007020794892622968
semoga,0.006778483293607962
easy,0.0066723324029650585
keren,0.006643612932158859
update,0.00652152152307956
kecewa,0.0062393779803865046
error,0.006051424382576576
suka,0.006043303105772958
pelayanan,0.005787828407584386
jelek,0.005709208557508206
bintang,0.0055887937808474465
bad,0.005574534312853233
susah,0.005517841742972503
web,0.005447136148062217
kasih,0.005381363306984294
coba,0.0053363174420003765
travel,0.005331387099923961
sampah,0.005318469819730316
mobile,0.005243957880342611
server,0.005216448850879642
